"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
27.08.2021,Калмыкия,27693,24427,525,4,101,124
02.09.2020,Брянская обл.,8278,6768,35,0,26,33
17.01.2021,Алтайский край,36347,33362,1045,15,197,81
06.07.2021,Амурская обл.,24651,23491,309,0,97,47
17.08.2021,Ингушетия,18661,17143,259,3,79,171
22.11.2021,Амурская обл.,44471,35107,513,4,249,72
24.04.2021,Калужская обл.,33736,31857,307,1,53,79
05.07.2021,Удмуртия,36190,32423,1074,4,122,41
10.07.2020,Чукотский АО,144,137,1,0,1,0
13.11.2020,Забайкальский край,14702,11559,211,3,258,420
06.05.2020,Коми,726,129,7,0,28,0
17.06.2020,Вологодская обл.,1335,825,14,0,18,26
11.02.2021,Тульская обл.,30733,28189,1113,10,157,180
07.05.2020,Амурская обл.,112,16,1,0,6,0
30.09.2020,Ростовская обл.,21938,17322,495,9,198,197
22.11.2021,Мордовия,35378,29290,845,5,162,121
20.07.2020,Чувашия,6264,3385,49,0,48,21
13.03.2020,Калужская обл.,0,0,0,0,0,0
08.04.2021,Марий Эл,12700,11861,217,2,19,24
21.09.2021,Белгородская обл.,52273,48139,1110,7,163,203
15.03.2021,Москва,1001747,921424,15815,51,1353,1036
30.05.2021,Магаданская обл.,8459,8254,109,0,5,4
17.10.2020,Архангельская обл.,16659,10754,271,0,207,54
07.05.2020,Алтай,40,5,0,0,2,2
03.09.2021,Новгородская обл.,40828,37570,376,3,120,115
13.03.2020,Татарстан,0,0,0,0,0,0
17.10.2021,Карелия,69968,66520,929,3,275,237
31.07.2020,Московская обл.,63449,46653,1106,1,150,288
05.08.2021,Астраханская обл.,44826,36985,1159,10,288,87
18.10.2021,Ставропольский край,92419,72727,3583,31,379,134
19.12.2020,Орловская обл.,19225,17247,239,3,179,200
09.10.2021,Пензенская обл.,72934,58245,2928,27,280,78
19.09.2020,Челябинская обл.,14928,10969,122,3,71,129
12.10.2020,Тамбовская обл.,8368,6942,46,0,63,8
21.08.2021,Хакасия,33889,28729,872,8,163,182
24.04.2021,Ямало-Ненецкий АО,38444,37210,415,0,18,25
20.08.2020,Сахалинская обл.,3811,2141,0,0,59,28
12.02.2021,Костромская обл.,17665,14651,326,2,57,120
13.04.2020,Краснодарский край,210,28,3,0,41,3
16.08.2021,Кабардино-Балкария,28415,26454,660,3,87,73
12.07.2021,Хабаровский край,59234,54423,535,5,330,145
16.01.2021,Волгоградская обл.,39607,37700,536,5,262,268
02.07.2021,Мордовия,22087,19794,335,2,49,42
17.09.2020,Пермский край,8877,6155,244,2,67,43
17.04.2021,Еврейская АО,4461,4271,125,0,1,1
27.11.2020,Тверская обл.,14518,9504,373,3,204,367
26.07.2020,Ивановская обл.,6303,4690,83,4,38,8
12.04.2021,ХМАО – Югра,54981,53507,787,1,59,32
05.04.2020,Кемеровская обл.,3,2,0,0,0,0
12.05.2020,Оренбургская обл.,1039,345,5,0,53,14
06.04.2020,Саха (Якутия),15,4,0,0,0,0
13.05.2021,Вологодская обл.,45339,42368,1053,4,42,32
20.09.2021,Рязанская обл.,41011,37566,1050,4,117,99
25.01.2021,Камчатский край,11915,10508,84,1,65,65
17.08.2021,Приморский край,58926,52237,988,2,250,82
28.10.2020,Саратовская обл.,19928,13130,152,2,197,145
15.01.2021,Северная Осетия,13260,11786,105,0,81,78
07.12.2020,Владимирская обл.,14250,12622,347,3,151,149
01.03.2021,Воронежская обл.,68160,62037,1906,0,293,298
21.12.2020,Мурманская обл.,33389,30576,595,4,279,267
27.08.2021,Башкортостан,55841,51587,1058,15,301,112
02.11.2021,Новосибирская обл.,71646,54079,3409,14,345,159
31.03.2021,Саха (Якутия),33565,32445,550,1,27,38
29.09.2021,Смоленская обл.,49832,44302,1714,10,186,127
02.06.2020,Магаданская обл.,248,199,3,0,2,12
04.07.2020,Липецкая обл.,3923,2561,18,1,35,88
11.07.2020,Ярославская обл.,5230,4313,22,0,40,99
27.07.2021,Тюменская обл.,45448,42404,955,5,274,223
11.12.2020,Татарстан,11323,9922,161,3,94,98
11.11.2020,Калмыкия,10115,7379,113,2,88,280
29.09.2020,Крым,4387,2786,62,3,82,92
04.04.2020,Кемеровская обл.,3,2,0,0,0,0
13.05.2020,Оренбургская обл.,1089,390,5,0,50,45
23.11.2020,Алтай,10462,8148,22,0,125,30
25.07.2020,Ивановская обл.,6265,4682,79,5,43,64
11.04.2021,Еврейская АО,4455,4263,125,0,1,2
19.09.2020,Пермский край,9012,6244,248,2,68,45
11.10.2020,Тамбовская обл.,8305,6934,46,0,62,6
