"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
20.09.2020,Томская обл.,6775,5554,79,1,62,92
26.09.2020,Костромская обл.,4553,3329,67,5,54,44
02.09.2021,Ямало-Ненецкий АО,47772,45810,625,4,102,121
15.12.2020,Сахалинская обл.,13406,10292,11,0,142,366
21.09.2020,Волгоградская обл.,14158,12376,131,0,95,13
13.04.2021,Кабардино-Балкария,23287,22323,431,0,32,43
29.11.2020,Тыва,12311,11383,138,0,97,83
11.03.2021,Хабаровский край,49543,46972,306,2,57,68
08.12.2020,Самарская обл.,24491,22229,463,8,278,293
28.02.2021,Тамбовская обл.,26273,24072,343,2,119,86
14.05.2020,Ульяновская обл.,1012,222,5,0,80,40
01.05.2020,Ленинградская обл.,929,126,3,2,44,11
14.01.2021,Челябинская обл.,38859,25649,625,11,292,371
14.10.2020,Ненецкий АО,361,136,0,0,5,0
27.07.2020,Омская обл.,6298,3972,62,0,114,3
29.11.2020,Хакасия,11883,8260,135,8,182,217
30.03.2020,Курганская обл.,1,0,0,0,0,0
14.07.2021,Севастополь,18282,15932,786,3,121,135
14.07.2020,Курская обл.,5701,3882,48,2,35,51
19.08.2021,Псковская обл.,45711,38887,637,6,104,292
07.01.2021,Кировская обл.,27258,20900,237,0,229,243
04.12.2020,Ивановская обл.,16466,11977,267,5,160,126
14.10.2020,Мордовия,7142,5913,45,1,66,48
18.07.2020,Иркутская обл.,11262,6136,120,5,188,224
03.07.2020,Саратовская обл.,6746,3680,45,1,101,111
13.07.2021,Чукотский АО,928,765,8,0,14,0
22.09.2020,Северная Осетия,5541,4640,68,0,33,31
01.12.2020,Калужская обл.,16133,14328,109,0,145,325
15.09.2021,Вологодская обл.,65120,58580,1748,7,227,241
08.09.2020,Камчатский край,3967,3196,42,0,12,1
09.05.2021,Алтайский край,50272,45217,2119,6,63,48
08.05.2020,Тульская обл.,1620,263,11,1,90,45
07.10.2021,Брянская обл.,67260,61999,1528,13,275,145
12.02.2021,Амурская обл.,20330,18731,148,0,42,59
08.04.2021,Приморский край,42757,39933,692,2,49,116
03.06.2020,Белгородская обл.,2548,1082,22,2,77,83
09.08.2021,Татарстан,24387,21555,633,0,50,5
21.11.2020,Ярославская обл.,14774,14241,73,0,184,321
13.05.2020,Карелия,176,43,1,1,5,3
10.04.2021,Орловская обл.,33039,30445,517,1,57,77
30.08.2020,Тыва,6796,6135,65,5,26,0
23.11.2021,Тульская обл.,66204,57932,3818,12,259,250
04.06.2021,Смоленская обл.,31352,29554,1032,5,73,74
24.05.2020,Пензенская обл.,1709,1239,13,0,97,93
27.07.2020,Владимирская обл.,5490,5113,125,1,28,2
22.03.2020,Астраханская обл.,0,0,0,0,0,0
11.10.2020,Воронежская обл.,20058,17819,209,2,203,190
10.08.2020,Мурманская обл.,11439,7961,98,2,89,56
30.06.2021,Новосибирская обл.,46820,41630,2063,11,173,108
02.06.2020,Алтайский край,1985,833,12,0,70,28
05.07.2021,Тульская обл.,43540,39596,2247,6,153,59
22.05.2021,Крым,42642,39800,1313,5,91,199
27.03.2021,Курганская обл.,19056,17317,347,1,42,56
01.07.2021,Ленинградская обл.,48953,44918,1763,13,182,78
16.06.2021,Ульяновская обл.,57318,54785,1542,13,96,94
18.08.2020,Дагестан,10151,9087,470,0,60,44
15.04.2020,Хабаровский край,77,7,2,0,23,0
19.08.2021,Алтай,20270,18790,296,1,43,47
14.07.2021,Краснодарский край,54841,46164,3730,24,226,59
02.09.2020,Бурятия,5331,4502,53,3,40,46
16.07.2020,Адыгея,2308,1868,16,2,17,25
21.12.2020,ХМАО – Югра,39064,34972,502,5,222,232
20.09.2020,Свердловская обл.,27799,21145,568,1,120,58
25.12.2020,Калмыкия,14175,11838,194,0,107,139
22.08.2020,Ставропольский край,10869,7365,212,3,128,176
20.04.2021,Тверская обл.,39197,37275,832,8,80,85
22.07.2021,Кемеровская обл.,44049,41420,930,6,196,191
13.10.2021,Оренбургская обл.,82124,70506,2201,19,383,374
13.08.2020,Красноярский край,14812,12344,380,4,121,63
21.08.2020,Нижегородская обл.,26391,23446,443,2,127,124
10.09.2020,Санкт-Петербург,38651,26776,2590,16,215,112
20.08.2021,Коми,60619,50213,1380,11,256,127
20.09.2021,Пермский край,96861,85844,4578,29,456,303
26.12.2020,Еврейская АО,3664,2629,67,2,17,82
25.09.2020,Чечня,2404,1842,40,0,7,6
19.07.2020,Забайкальский край,3897,3137,47,0,30,29
03.12.2020,Ингушетия,9720,8258,114,0,85,53
17.09.2020,Рязанская обл.,7678,6527,47,0,31,21
05.05.2021,Коми,43406,42157,903,2,26,23
03.11.2020,Чечня,2683,2110,48,0,14,0
11.10.2020,Удмуртия,6503,4433,83,4,112,26
03.12.2020,Московская обл.,114471,81584,2160,36,1193,1034
30.09.2021,Магаданская обл.,11023,10386,255,0,21,5
04.09.2021,Крым,72124,61906,2258,16,255,357
19.02.2021,Архангельская обл.,55310,49376,579,0,174,195
08.02.2021,Карелия,37675,32950,254,3,180,221
23.04.2021,Новгородская обл.,29649,27491,121,0,40,82
22.06.2020,Тюменская обл.,2621,1532,16,0,47,12
26.05.2020,Смоленская обл.,1769,581,21,5,84,14
21.05.2021,Пензенская обл.,46544,43903,754,6,76,72
30.04.2020,Новосибирская обл.,471,78,4,0,35,15
19.03.2021,Астраханская обл.,29865,26033,626,4,75,304
28.09.2021,Ставропольский край,85144,66610,2953,27,348,15
08.08.2021,Липецкая обл.,41649,35611,1212,10,239,79
08.02.2021,Ростовская обл.,66610,56635,2809,9,359,388
11.05.2021,Белгородская обл.,37553,34923,654,2,65,35
18.03.2021,Чувашия,22212,20281,1136,8,43,39
31.07.2020,Марий Эл,3770,3213,34,1,18,14
06.05.2021,Алтай,16830,16527,240,0,2,4
23.07.2020,Башкортостан,6463,4775,21,0,37,12
07.11.2020,Саха (Якутия),15040,9349,175,5,204,141
17.11.2021,Воронежская обл.,167536,121329,5381,29,747,172
21.06.2020,Москва,213946,135556,3597,32,968,1007
27.03.2021,Забайкальский край,40828,39320,588,0,57,69
23.07.2020,Алтай,1351,884,1,0,20,30
07.07.2021,Тульская обл.,43846,39709,2262,7,154,56
31.05.2020,Алтайский край,1848,787,12,0,69,20
18.05.2020,Камчатский край,495,131,1,0,18,6
21.11.2021,Тульская обл.,65683,57425,3793,14,261,254
30.06.2020,Татарстан,4555,3703,11,0,41,8
01.06.2020,Северная Осетия,3005,1968,50,4,48,16
15.04.2020,Саратовская обл.,56,8,0,0,7,2
22.01.2021,Крым,30683,24736,688,8,234,253
08.04.2021,Орловская обл.,32923,30293,515,1,60,72
30.10.2021,Архангельская обл.,99948,92802,1252,0,449,384
16.01.2021,Магаданская обл.,7489,7032,73,0,30,32
22.10.2021,Чечня,24264,22771,677,4,97,90
09.08.2020,Новгородская обл.,3902,2745,72,0,16,4
24.07.2020,Коми,4964,3149,40,0,53,114
11.05.2021,Алтайский край,50392,45311,2132,5,60,52
06.05.2020,Тульская обл.,1445,187,9,0,77,30
05.10.2021,Брянская обл.,66721,61668,1503,11,260,141
10.02.2021,Амурская обл.,20243,18611,146,1,49,65
09.08.2021,Московская обл.,398698,328618,7462,27,1487,1421
19.04.2020,Воронежская обл.,156,28,5,0,26,4
11.07.2020,Астраханская обл.,3873,2600,35,0,31,41
03.12.2020,Калужская обл.,16432,14674,116,3,151,121
14.09.2020,Пензенская обл.,9389,8266,117,0,93,21
25.10.2021,Ростовская обл.,152382,128467,7555,33,606,540
15.07.2021,Чукотский АО,943,765,8,0,8,0
23.08.2020,Белгородская обл.,7033,6172,51,0,43,30
22.11.2021,Новосибирская обл.,79558,56597,3679,14,391,61
03.03.2021,Чечня,11331,10826,112,1,11,30
19.07.2020,Курганская обл.,1752,837,3,0,49,20
10.10.2021,Мордовия,29020,24743,597,5,106,71
05.01.2021,Коми,31603,29629,593,7,246,269
20.07.2020,Иркутская обл.,11625,6227,122,2,178,67
23.10.2020,Ленинградская обл.,10402,6145,109,2,133,49
06.10.2020,Ульяновская обл.,16304,13654,173,0,149,100
05.01.2021,Кировская обл.,26804,20425,235,1,228,257
17.08.2021,Псковская обл.,45502,38428,628,2,108,162
02.06.2020,Волгоградская обл.,3334,1097,20,0,119,66
12.07.2021,Севастополь,18039,15659,779,3,120,63
16.07.2020,Курская обл.,5765,4042,48,0,31,60
04.05.2020,Костромская обл.,266,60,3,0,13,15
26.10.2020,Краснодарский край,16734,11411,391,6,131,28
31.05.2021,Свердловская обл.,89295,83191,3426,12,95,96
16.10.2020,Ненецкий АО,372,136,0,0,9,0
25.07.2020,Омская обл.,6077,3967,60,4,108,260
06.01.2021,Алтай,14066,13218,108,0,47,16
10.03.2021,Хакасия,21492,20565,479,2,9,44
10.12.2020,Самарская обл.,25055,22836,478,7,283,305
27.04.2021,Нижегородская обл.,113443,108709,3142,12,170,192
04.02.2021,Оренбургская обл.,34709,30905,498,6,154,153
19.04.2021,Красноярский край,69071,63735,3382,11,119,100
03.11.2020,Кемеровская обл.,15823,11586,234,7,198,290
25.05.2021,Санкт-Петербург,434677,398999,14123,46,844,1266
08.08.2020,Крым,1410,1041,16,0,24,31
22.09.2020,Томская обл.,6895,5598,79,0,61,20
11.03.2021,Саратовская обл.,51527,46369,700,5,173,145
21.07.2020,Башкортостан,6386,4697,21,0,38,60
09.11.2020,Саха (Якутия),15444,9460,179,2,203,10
06.08.2021,Липецкая обл.,41172,35348,1195,9,240,186
09.07.2021,Марий Эл,14794,14025,324,4,57,33
23.12.2020,Чувашия,15454,13790,443,12,125,118
18.08.2021,Москва,1547244,1417825,26766,59,1590,3029
29.05.2021,Северная Осетия,16986,16389,212,0,8,4
14.04.2021,Тыва,15781,15140,200,0,2,24
30.12.2020,Вологодская обл.,23081,18337,416,6,356,370
06.05.2021,Карелия,45968,44123,483,1,39,49
20.06.2020,Тюменская обл.,2529,1503,16,1,49,29
30.03.2020,Забайкальский край,1,1,0,0,0,0
04.05.2021,Карачаево-Черкессия,20113,19916,75,0,12,5
27.05.2021,Камчатский край,14656,14029,231,0,8,10
23.07.2020,Приморский край,5948,4434,67,1,110,84
05.08.2021,Ярославская обл.,50727,44134,874,5,202,100
15.09.2020,Рязанская обл.,7614,6483,47,0,30,25
14.03.2021,Ингушетия,14936,13209,178,0,10,1
05.10.2021,Удмуртия,54519,44150,2127,9,276,178
04.05.2020,Ставропольский край,788,164,17,2,57,29
04.04.2021,Владимирская обл.,30258,27341,1009,3,71,76
22.04.2021,Мурманская обл.,50146,47568,1140,0,21,40
27.06.2021,Воронежская обл.,89714,84934,3183,14,258,249
24.10.2020,Новосибирская обл.,16040,13538,557,5,179,87
16.09.2020,Смоленская обл.,6369,5576,137,1,11,8
28.06.2021,Калининградская обл.,35989,34681,540,0,162,148
24.12.2020,Еврейская АО,3623,2516,63,1,28,31
27.12.2020,Ямало-Ненецкий АО,31418,23919,322,3,174,219
29.08.2021,Сахалинская обл.,30411,28767,212,3,95,115
18.09.2021,Пермский край,95950,85154,4522,25,451,536
09.12.2020,Карачаево-Черкессия,13081,11274,36,0,97,236
21.11.2021,Ленинградская обл.,86832,67638,2714,6,429,424
10.06.2021,Костромская обл.,21860,19139,494,2,34,27
03.07.2020,Хабаровский край,4481,2213,30,1,95,13
03.08.2020,Кабардино-Балкария,6024,5578,71,1,16,18
30.05.2021,Волгоградская обл.,59705,56945,1304,8,87,81
02.10.2021,Челябинская обл.,96803,83443,3442,26,386,280
22.04.2021,Тверская обл.,39353,37441,847,8,78,82
06.11.2021,Тамбовская обл.,49611,46757,1165,7,208,216
24.03.2021,Калмыкия,19780,18937,310,1,26,15
23.12.2020,ХМАО – Югра,39508,35424,510,5,225,228
20.05.2020,Санкт-Петербург,11795,2480,99,4,455,208
31.07.2021,Дагестан,41712,37215,1745,11,200,179
02.02.2021,Калининградская обл.,24449,21630,218,0,187,201
12.10.2021,Бурятия,60147,51544,1894,8,117,100
24.08.2021,Ивановская обл.,44352,40635,1454,3,124,113
25.08.2021,Адыгея,17730,15916,325,3,55,37
10.09.2021,Тыва,25480,20490,273,0,65,128
30.05.2020,Свердловская обл.,5184,2142,26,1,261,145
01.06.2021,Калининградская обл.,33590,32486,499,3,50,46
27.07.2020,Башкортостан,6607,4861,21,0,36,31
03.11.2020,Саха (Якутия),14237,8821,151,7,195,105
04.08.2021,Липецкая обл.,40693,34944,1176,8,241,219
06.08.2021,Ярославская обл.,50924,44238,879,5,197,104
26.06.2020,Тюменская обл.,2827,1684,16,0,61,38
18.06.2020,Ставропольский край,4018,2221,75,3,90,92
15.09.2020,Смоленская обл.,6358,5568,136,1,9,4
21.04.2021,Мурманская обл.,50125,47528,1140,2,25,34
26.06.2021,Воронежская обл.,89456,84685,3169,6,254,235
27.04.2020,Удмуртия,207,19,5,1,5,0
23.10.2020,Новосибирская обл.,15861,13451,552,4,175,98
03.04.2021,Владимирская обл.,30187,27265,1006,5,70,79
30.05.2021,Северная Осетия,16995,16393,212,0,9,4
21.09.2020,Рязанская обл.,7816,6565,47,0,35,0
11.04.2021,Татарстан,19802,16928,435,2,34,13
20.03.2021,Карачаево-Черкессия,19484,18123,69,1,13,59
10.03.2021,Саратовская обл.,51354,46224,695,8,172,121
24.07.2020,Приморский край,6060,4525,67,0,112,91
28.05.2021,Камчатский край,14663,14040,231,0,7,11
29.03.2020,Забайкальский край,1,1,0,0,0,0
31.12.2020,Вологодская обл.,23435,18687,425,9,354,350
11.04.2020,Москва,8852,499,58,8,1030,149
24.09.2021,Пермский край,98706,87715,4690,28,465,462
22.12.2020,Еврейская АО,3568,2455,62,0,26,18
23.08.2021,Ивановская обл.,44228,40522,1451,4,125,110
21.05.2020,Санкт-Петербург,12203,2661,104,5,408,181
24.04.2021,Тверская обл.,39500,37602,857,7,72,80
31.05.2020,Свердловская обл.,5449,2173,27,1,265,31
05.06.2020,Бурятия,1681,999,10,0,48,24
01.08.2020,Хакасия,2855,2516,32,0,19,25
06.01.2021,Калининградская обл.,19077,17244,189,2,215,201
17.03.2020,Адыгея,0,0,0,0,0,0
25.12.2020,ХМАО – Югра,39965,36102,516,2,228,343
29.05.2021,Волгоградская обл.,59618,56864,1296,7,92,87
04.07.2020,Хабаровский край,4555,2223,30,0,74,10
02.08.2020,Кабардино-Балкария,6008,5560,70,0,15,21
11.06.2021,Костромская обл.,21896,19179,496,2,36,40
22.11.2021,Ленинградская обл.,87267,68054,2730,16,435,416
30.08.2021,Сахалинская обл.,30503,28943,212,0,92,176
26.12.2020,Ямало-Ненецкий АО,31244,23700,319,3,176,229
27.02.2021,Мордовия,17787,15785,159,0,50,40
13.03.2020,Тверская обл.,0,0,0,0,0,0
05.11.2021,Тамбовская обл.,49403,46541,1158,10,211,238
03.10.2021,Челябинская обл.,97192,83721,3467,25,389,278
25.10.2020,Карачаево-Черкессия,9084,5307,30,0,87,17
13.09.2020,Пензенская обл.,9296,8245,117,0,85,11
29.05.2020,Алтайский край,1708,732,12,2,75,13
01.07.2021,Тульская обл.,42927,39358,2220,7,157,57
12.07.2020,Астраханская обл.,3910,2630,35,0,37,30
18.04.2020,Воронежская обл.,130,24,5,4,22,0
10.08.2021,Московская обл.,400007,330540,7491,29,1309,1922
08.08.2020,Новгородская обл.,3886,2741,72,0,14,25
31.10.2021,Архангельская обл.,100413,93195,1256,4,465,393
15.01.2021,Магаданская обл.,7459,7000,73,0,28,30
21.11.2021,Новосибирская обл.,79167,56536,3665,13,399,58
22.08.2020,Белгородская обл.,6990,6142,51,0,46,56
05.08.2020,Ингушетия,3770,3162,74,0,15,145
06.04.2021,Орловская обл.,32799,30149,512,2,60,68
24.02.2021,Удмуртия,27852,24551,610,5,95,94
24.10.2021,Ростовская обл.,151776,127927,7522,35,600,490
05.05.2021,Алтайский край,50015,44933,2092,6,64,71
04.05.2020,Тульская обл.,1293,155,8,0,75,12
11.10.2021,Брянская обл.,68427,62806,1577,12,299,119
25.09.2020,Карелия,3788,2745,17,0,48,11
08.02.2021,Амурская обл.,20134,18484,144,1,72,68
19.05.2020,Камчатский край,515,134,2,1,20,3
26.03.2021,Забайкальский край,40771,39251,588,1,56,59
27.11.2020,Калужская обл.,15571,13208,109,3,140,212
14.04.2020,Саратовская обл.,49,6,0,0,5,2
09.07.2021,Чукотский АО,896,765,8,0,16,0
02.06.2020,Северная Осетия,3055,2070,56,6,50,102
28.11.2020,Марий Эл,7475,6485,91,1,52,57
01.08.2021,Чувашия,29364,26758,1728,8,73,69
04.11.2020,Москва,445181,325531,7004,68,5826,3852
14.07.2020,Иркутская обл.,10495,4727,98,4,198,184
01.06.2021,Свердловская обл.,89391,83289,3439,13,96,98
23.08.2021,Псковская обл.,46119,39529,651,5,101,30
11.01.2021,Кировская обл.,28177,21847,242,1,226,246
16.12.2020,Дагестан,21125,18279,1043,5,152,94
10.07.2021,Севастополь,17798,15516,774,3,118,128
18.07.2020,Курская обл.,5828,4132,49,0,29,52
26.05.2021,Санкт-Петербург,435516,400160,14162,39,839,1161
31.12.2020,Бурятия,25724,23134,591,5,189,198
05.02.2021,Оренбургская обл.,34859,31069,502,4,150,164
20.04.2021,Красноярский край,69188,63830,3394,12,117,95
02.11.2020,Кемеровская обл.,15625,11296,227,0,197,218
13.11.2020,Адыгея,6679,5420,58,0,77,69
28.04.2021,Нижегородская обл.,113622,108896,3152,10,179,187
10.10.2020,Ненецкий АО,348,136,0,0,6,0
05.10.2020,Ульяновская обл.,16155,13554,173,1,145,63
23.07.2020,Омская обл.,5854,3572,56,2,129,152
24.10.2020,Ленинградская обл.,10530,6197,109,0,128,52
11.08.2020,Калмыкия,3052,2186,42,0,5,21
20.07.2020,Курганская обл.,1803,861,3,0,51,24
28.04.2020,Мордовия,592,36,2,0,32,0
04.12.2020,Самарская обл.,23399,21047,439,4,266,403
05.05.2020,Костромская обл.,278,64,3,0,12,4
25.10.2020,Краснодарский край,16603,11383,385,6,130,24
01.06.2020,Волгоградская обл.,3215,1031,20,1,189,8
16.09.2020,Томская обл.,6530,5314,77,0,51,63
27.05.2021,Мордовия,20849,18551,275,1,29,16
19.09.2020,Свердловская обл.,27679,21087,567,8,125,60
06.10.2020,Ставропольский край,16978,12115,334,2,151,107
09.09.2020,Санкт-Петербург,38436,26664,2574,22,218,111
20.08.2020,Нижегородская обл.,26264,23322,441,3,132,183
23.07.2021,Кемеровская обл.,44246,41616,935,5,197,196
12.10.2021,Оренбургская обл.,81741,70132,2182,21,378,371
12.08.2020,Красноярский край,14691,12281,376,5,123,72
27.12.2020,ХМАО – Югра,40414,36680,525,6,223,280
17.06.2021,Ульяновская обл.,57416,54879,1555,13,98,94
30.06.2021,Ленинградская обл.,48771,44840,1750,11,178,77
08.07.2021,Хакасия,26247,23926,618,5,164,8
26.03.2021,Курганская обл.,19014,17261,346,0,43,51
26.04.2021,Тверская обл.,39639,37755,865,4,69,75
15.07.2021,Краснодарский край,55070,46229,3755,25,229,65
12.03.2020,Кабардино-Балкария,0,0,0,0,0,0
14.04.2020,Хабаровский край,54,7,2,0,0,0
20.12.2020,Еврейская АО,3514,2410,62,1,29,10
22.09.2021,Пермский край,97780,86772,4635,29,462,477
18.03.2021,Астраханская обл.,29790,25729,622,4,74,314
01.05.2020,Новосибирская обл.,526,80,5,1,55,2
27.05.2020,Смоленская обл.,1853,621,25,4,84,40
22.05.2021,Пензенская обл.,46617,43973,759,5,73,70
12.11.2021,Ставропольский край,103588,79449,4511,44,508,287
24.04.2021,Новгородская обл.,29685,27570,121,0,36,79
01.10.2021,Магаданская обл.,11044,10393,255,0,21,7
18.02.2021,Архангельская обл.,55136,49181,579,12,175,201
02.12.2020,Московская обл.,113278,80550,2124,32,1148,76
28.10.2020,Татарстан,8282,7258,105,0,47,162
18.11.2021,Воронежская обл.,168282,121505,5409,28,746,176
12.05.2021,Белгородская обл.,37616,34996,656,2,63,73
09.02.2021,Ростовская обл.,66966,57052,2833,24,356,417
19.09.2020,Рязанская обл.,7747,6565,47,0,35,18
20.07.2020,Забайкальский край,3927,3155,47,0,30,18
24.06.2020,Тюменская обл.,2717,1621,16,0,50,41
29.05.2020,Тыва,942,86,2,0,66,3
02.08.2021,Липецкая обл.,40212,34497,1159,10,241,85
25.07.2020,Башкортостан,6536,4825,21,0,36,44
05.11.2020,Саха (Якутия),14633,9072,161,5,199,124
05.12.2020,Ивановская обл.,16629,12160,275,8,163,183
18.09.2020,Томская обл.,6645,5411,78,1,62,72
06.12.2020,Самарская обл.,23939,21655,451,4,271,301
07.08.2021,Калмыкия,25610,22207,493,1,109,84
12.10.2020,Ненецкий АО,353,136,0,0,2,0
21.07.2020,Омская обл.,5607,3290,54,2,104,108
02.04.2021,Дагестан,31138,28810,1411,0,44,43
14.04.2021,Кабардино-Балкария,23319,22368,431,0,32,45
10.03.2021,Хабаровский край,49486,46904,304,2,52,67
22.09.2020,Волгоградская обл.,14256,12509,132,1,98,133
14.12.2020,Сахалинская обл.,13264,9926,11,1,138,56
08.07.2021,Севастополь,17561,15282,768,4,115,117
20.07.2020,Курская обл.,5893,4132,49,0,32,0
03.09.2021,Ямало-Ненецкий АО,47873,45922,630,5,101,112
09.01.2021,Кировская обл.,27720,21359,240,2,229,231
25.09.2020,Костромская обл.,4499,3285,62,3,45,18
14.06.2021,Бурятия,40114,38732,959,8,190,125
21.08.2021,Псковская обл.,45918,39489,644,3,105,301
27.04.2021,Адыгея,14395,13829,173,0,11,10
29.03.2020,Курганская обл.,1,0,0,0,0,0
16.07.2020,Иркутская обл.,10881,5625,109,2,196,347
30.04.2020,Ленинградская обл.,885,115,1,0,51,0
13.01.2021,Челябинская обл.,38567,25278,614,10,289,390
15.05.2020,Ульяновская обл.,1081,246,5,0,69,24
17.04.2020,Чечня,115,15,5,0,7,0
01.03.2021,Тамбовская обл.,26391,24121,346,3,118,49
09.08.2020,Чувашия,7042,4312,64,2,32,67
11.07.2021,Чукотский АО,914,765,8,0,7,0
11.03.2021,Марий Эл,12072,11038,181,1,25,41
20.11.2020,Ярославская обл.,14590,13920,73,3,180,411
04.06.2020,Белгородская обл.,2624,1151,22,0,76,69
04.04.2021,Москва,1034567,949843,16872,56,1901,998
29.11.2020,Калужская обл.,15850,13916,109,0,137,277
02.04.2020,Татарстан,19,2,0,0,0,0
19.09.2021,Карелия,63691,60692,827,4,150,171
07.05.2021,Алтайский край,50144,45070,2104,7,63,72
12.10.2020,Воронежская обл.,20262,17911,209,0,204,92
09.10.2021,Брянская обл.,67831,62443,1551,13,291,198
02.05.2020,Тульская обл.,1135,138,7,0,88,17
11.08.2020,Мурманская обл.,11517,8150,101,3,78,189
28.07.2020,Владимирская обл.,5516,5126,128,3,26,13
21.03.2020,Астраханская обл.,0,0,0,0,0,0
01.07.2021,Новосибирская обл.,46998,41727,2072,9,178,97
06.02.2021,Амурская обл.,19986,18327,142,1,80,92
05.06.2021,Смоленская обл.,31435,29632,1038,6,83,78
25.05.2020,Пензенская обл.,1803,1255,15,2,94,16
21.09.2020,Северная Осетия,5508,4609,68,0,34,0
12.07.2021,Ингушетия,16614,15851,200,1,44,13
04.04.2021,Орловская обл.,32677,30017,507,4,61,67
04.07.2020,Саратовская обл.,6844,3748,45,0,98,68
22.05.2021,Удмуртия,33715,30593,927,4,48,44
07.04.2021,Приморский край,42708,39817,690,1,47,146
07.09.2020,Камчатский край,3955,3195,42,0,13,0
14.09.2021,Вологодская обл.,64893,58339,1741,8,225,234
27.05.2020,Алтайский край,1554,692,10,1,69,22
03.07.2021,Тульская обл.,43233,39476,2235,8,151,60
07.12.2020,Орловская обл.,17140,14837,213,0,162,9
07.02.2021,Ростовская обл.,66251,56247,2800,10,360,397
20.11.2021,Воронежская обл.,169775,121904,5465,23,745,212
10.05.2021,Белгородская обл.,37488,34888,652,2,67,29
30.11.2020,Московская обл.,111026,79847,2071,20,1064,592
26.04.2021,Новгородская обл.,29757,27736,121,0,35,78
03.10.2021,Магаданская обл.,11088,10417,259,2,19,12
20.02.2021,Архангельская обл.,55481,49567,595,16,171,191
15.04.2021,Дагестан,31691,29330,1424,1,41,40
13.03.2021,Адыгея,13933,12537,156,0,10,25
29.05.2020,Смоленская обл.,2024,705,30,1,91,43
24.05.2021,Пензенская обл.,46760,44109,770,6,72,75
15.02.2021,Тульская обл.,31320,28881,1146,8,145,170
20.03.2021,Астраханская обл.,29938,26349,630,4,73,316
01.06.2021,Бурятия,38590,37086,898,2,92,69
25.04.2020,Амурская обл.,33,5,0,0,5,0
29.04.2020,Новосибирская обл.,436,63,4,0,29,10
20.01.2021,Тыва,15227,14020,185,2,30,29
22.08.2021,Калмыкия,27186,23811,513,2,102,106
28.06.2020,Чукотский АО,138,125,1,0,0,0
18.07.2020,Забайкальский край,3867,3108,47,0,32,112
12.04.2021,Калужская обл.,33048,30922,295,0,59,67
14.08.2021,Ставропольский край,69249,58764,2022,12,344,169
08.06.2021,Амурская обл.,22880,22252,294,1,23,20
05.01.2021,Алтайский край,33957,31332,926,9,209,168
14.09.2020,Брянская обл.,8687,7080,35,0,42,14
21.07.2021,Кемеровская обл.,43853,41229,924,5,198,194
14.10.2021,Оренбургская обл.,82511,70858,2224,23,387,352
10.08.2020,Красноярский край,14446,12141,365,4,127,24
18.08.2020,Нижегородская обл.,25994,22819,436,3,116,115
27.07.2020,Псковская обл.,3618,2410,52,1,36,0
11.05.2021,Кировская обл.,42798,40189,354,0,62,60
29.06.2020,Севастополь,229,174,4,0,1,0
29.07.2021,Курская обл.,46072,43180,1079,5,193,141
07.09.2020,Санкт-Петербург,38008,26430,2532,0,196,65
18.08.2020,Тыва,6520,5769,60,0,19,104
01.09.2021,Ингушетия,19711,18191,279,1,66,32
25.07.2021,Иркутская обл.,83056,71677,3536,29,399,177
21.09.2020,Свердловская обл.,27922,21204,568,0,123,59
08.06.2021,Удмуртия,34441,31338,980,2,39,41
07.11.2021,Карелия,76535,72378,1008,4,271,269
13.08.2020,Ставропольский край,9699,6661,186,3,105,79
14.03.2020,Кабардино-Балкария,0,0,0,0,0,0
27.09.2021,Томская обл.,43370,36406,563,0,85,53
12.04.2020,Хабаровский край,29,7,2,0,0,0
31.05.2020,Кировская обл.,1683,978,17,2,54,28
13.07.2021,Краснодарский край,54615,46105,3706,24,211,62
03.04.2021,Самарская обл.,56333,53078,1126,9,201,215
28.03.2021,Курганская обл.,19099,17369,347,0,43,52
20.03.2021,Москва,1009952,929925,16078,54,1728,1769
06.11.2021,Ненецкий АО,2862,2690,65,0,16,0
15.06.2021,Ульяновская обл.,57222,54691,1529,15,94,96
19.08.2021,Омская обл.,68607,57895,1808,8,391,204
29.04.2021,Марий Эл,13046,12434,228,0,15,17
02.07.2021,Ленинградская обл.,49144,44993,1773,10,191,75
19.06.2020,Чувашия,4401,2424,21,0,70,63
03.06.2021,Смоленская обл.,31279,29480,1027,0,70,72
23.05.2020,Пензенская обл.,1612,1146,13,0,102,70
10.10.2020,Воронежская обл.,19855,17629,207,6,201,229
13.08.2020,Мурманская обл.,11656,8469,107,3,67,149
03.07.2021,Новосибирская обл.,47349,41975,2085,6,180,136
26.07.2020,Владимирская обл.,5462,5111,124,1,29,8
19.03.2020,Астраханская обл.,0,0,0,0,0,0
23.07.2021,Тюменская обл.,44362,41564,920,7,268,235
06.06.2020,Белгородская обл.,2769,1326,25,3,74,90
08.07.2020,Липецкая обл.,4060,2719,19,1,34,43
18.11.2020,Ярославская обл.,14235,13195,70,0,176,436
11.07.2020,Чечня,1821,1240,26,0,7,2
11.10.2021,Коми,72975,66121,1836,9,261,68
23.08.2021,Башкортостан,54639,50137,999,12,297,57
28.08.2021,Хакасия,34954,30799,923,12,143,424
03.03.2021,Саха (Якутия),32669,31263,517,1,41,85
16.09.2021,Вологодская обл.,65345,58792,1754,6,225,212
08.04.2021,Крым,38309,35886,1112,5,91,73
